smiles,canonical_smiles,curation_status
Cc1ccc(C(=C(B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)P(c2c(C)cc(C)cc2C)c2c(C)cc(C)cc2C)cc1,Cc1ccc(C(=C(B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)P(c2c(C)cc(C)cc2C)c2c(C)cc(C)cc2C)cc1,keep
CC(B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)=C(c1ccc(C)cc1)P(c1ccccc1)c1ccccc1,CC(B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)=C(c1ccc(C)cc1)P(c1ccccc1)c1ccccc1,keep
CC(B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)=C(c1ccc(C)cc1)P(c1ccccc1)c1ccccc1,CC(B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)=C(c1ccc(C)cc1)P(c1ccccc1)c1ccccc1,keep
CC(B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)=C(c1ccc(C)cc1)P(c1c(C)cc(C)cc1C)c1c(C)cc(C)cc1C,CC(B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)=C(c1ccc(C)cc1)P(c1c(C)cc(C)cc1C)c1c(C)cc(C)cc1C,keep
CC(B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)=C(c1ccc(C)cc1)P(c1c(C)cc(C)cc1C)c1c(C)cc(C)cc1C,CC(B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)=C(c1ccc(C)cc1)P(c1c(C)cc(C)cc1C)c1c(C)cc(C)cc1C,keep
Cc1cc(C)c(B(c2c(C)cc(C)cc2C)c2cccc3cccc(P(C(C)C)C(C)C)c23)c(C)c1,Cc1cc(C)c(B(c2c(C)cc(C)cc2C)c2cccc3cccc(P(C(C)C)C(C)C)c23)c(C)c1,keep
CC(C)P(c1cccc2cccc(B(c3ccccc3)c3ccccc3)c12)C(C)C,CC(C)P(c1cccc2cccc(B(c3ccccc3)c3ccccc3)c12)C(C)C,keep
CC(C)P(c1cccc2cccc(B(C3CCCCC3)C3CCCCC3)c12)C(C)C,CC(C)P(c1cccc2cccc(B(C3CCCCC3)C3CCCCC3)c12)C(C)C,keep
CC1(C)C2CCC1C(c1ccc(P(C(C)(C)C)C(C)(C)C)cc1)C2B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,CC1(C)C2CCC1C(c1ccc(P(C(C)(C)C)C(C)(C)C)cc1)C2B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,keep
CC1(C)C2CCC1C(c1ccc(P(C(C)(C)C)C(C)(C)C)cc1)C2B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,CC1(C)C2CCC1C(c1ccc(P(C(C)(C)C)C(C)(C)C)cc1)C2B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,keep
